channel,snr_db,mode,psnr_mean,psnr_std,psnr_p10,psnr_p05,ssim_mean,ssim_std,ssim_p10,ssim_p05,latent_cosine_mean,latent_cosine_std,latent_cosine_p10,latent_cosine_p05,latent_cka_mean,latent_cka_std,latent_cka_p10,latent_cka_p05
rician,3,tokenizer_cond,17.045825958251953,0.6203200817108154,16.302753448486328,16.068641662597656,0.23065857589244843,0.03969307616353035,0.18301425874233246,0.1720968782901764,0.9996886253356934,2.216593020420987e-05,0.9996615648269653,0.999649167060852,0.8958202600479126,0.053856316953897476,0.8122614622116089,0.7992933392524719
rician,3,diffusion_no_token,17.040708541870117,0.611283004283905,16.327512741088867,16.084659576416016,0.23035840690135956,0.03990329056978226,0.18351693451404572,0.1707102656364441,0.999688446521759,2.170339757867623e-05,0.9996625185012817,0.9996488094329834,0.9017124176025391,0.048125848174095154,0.8400081992149353,0.8059855699539185
rician,3,diffusion_token,23.139917373657227,1.4110854864120483,21.274398803710938,20.7247371673584,0.6252695918083191,0.06291975826025009,0.5431618690490723,0.5157127380371094,0.9999234676361084,2.3242184397531673e-05,0.9998941421508789,0.9998804926872253,0.6448724865913391,0.1145012304186821,0.5035282969474792,0.4702688753604889
rician,6,baseline,18.282373428344727,0.7478756308555603,17.404029846191406,17.09840202331543,0.28947535157203674,0.0443643257021904,0.23697926104068756,0.22238346934318542,0.9997541904449463,2.1362795450841077e-05,0.9997268915176392,0.9997144937515259,0.9296330809593201,0.034322675317525864,0.8816755414009094,0.8601864576339722
rician,6,tokenizer_cond,17.159517288208008,0.6147525906562805,16.460010528564453,16.234251022338867,0.23632803559303284,0.03982822969555855,0.19007226824760437,0.1760033220052719,0.999689519405365,2.1574551283265464e-05,0.9996633529663086,0.9996492862701416,0.8997346758842468,0.04833825305104256,0.8308077454566956,0.8033962845802307
rician,6,diffusion_no_token,17.15250015258789,0.6050329804420471,16.447528839111328,16.262149810791016,0.23614269495010376,0.03965853899717331,0.18942804634571075,0.17717765271663666,0.9996893405914307,2.112835500156507e-05,0.9996625185012817,0.9996518492698669,0.8986285924911499,0.053946275264024734,0.8228673338890076,0.7876161932945251
rician,6,diffusion_token,23.863414764404297,1.4821375608444214,21.920743942260742,21.293630599975586,0.6475887894630432,0.061301339417696,0.5682458281517029,0.5392112731933594,0.9999257326126099,2.2897680537425913e-05,0.9998972415924072,0.9998822808265686,0.660278856754303,0.1208147257566452,0.5124231576919556,0.48453065752983093
rician,9,baseline,18.45612335205078,0.7415016889572144,17.598360061645508,17.31814193725586,0.29478269815444946,0.04563365504145622,0.2396998256444931,0.22587791085243225,0.9997560381889343,2.0541185222100466e-05,0.9997307658195496,0.9997185468673706,0.927996039390564,0.03638245537877083,0.8788732290267944,0.8545508980751038
rician,9,tokenizer_cond,17.237083435058594,0.6036635041236877,16.574722290039062,16.389789581298828,0.24196483194828033,0.040060389786958694,0.1952749490737915,0.1820048689842224,0.999688982963562,2.094530464091804e-05,0.9996632933616638,0.9996502995491028,0.9014418125152588,0.04941722750663757,0.8357779383659363,0.8038341403007507
rician,9,diffusion_no_token,17.23557472229004,0.5942555069923401,16.554834365844727,16.388484954833984,0.2416945844888687,0.03999313712120056,0.19354544579982758,0.18113510310649872,0.9996889233589172,2.135456816176884e-05,0.9996623992919922,0.9996506571769714,0.9025656580924988,0.04614600911736488,0.8320473432540894,0.8145154118537903
rician,9,diffusion_token,24.44171905517578,1.5294537544250488,22.423828125,21.86488914489746,0.6663501262664795,0.06034103035926819,0.5887594819068909,0.5642898678779602,0.9999274611473083,2.2206351786735468e-05,0.9998995661735535,0.9998871684074402,0.6625821590423584,0.11165223270654678,0.5170773267745972,0.48667383193969727
rician,12,baseline,18.507896423339844,0.7278197407722473,17.676803588867188,17.47825813293457,0.2966021001338959,0.04535533860325813,0.24293315410614014,0.22902610898017883,0.9997565150260925,1.988520125451032e-05,0.9997323155403137,0.99972003698349,0.9282519221305847,0.040523938834667206,0.8732060194015503,0.8419189453125
rician,12,tokenizer_cond,17.306039810180664,0.5901278257369995,16.64497947692871,16.4542179107666,0.24711991846561432,0.04078655317425728,0.1992112547159195,0.1852986216545105,0.9996887445449829,2.0373350707814097e-05,0.999663233757019,0.9996523261070251,0.9056059122085571,0.05014399439096451,0.8307639360427856,0.8079416155815125
rician,12,diffusion_no_token,17.309185028076172,0.5963065028190613,16.64461326599121,16.447526931762695,0.24739015102386475,0.041335150599479675,0.19929972290992737,0.18472954630851746,0.9996886849403381,2.0592384316842072e-05,0.9996627569198608,0.9996526837348938,0.9035285115242004,0.05121488496661186,0.836496889591217,0.8018630146980286
rician,12,diffusion_token,24.851755142211914,1.5506532192230225,22.809185028076172,22.25542640686035,0.6810781955718994,0.06088549643754959,0.6001542210578918,0.5772823691368103,0.9999284744262695,2.200867311330512e-05,0.999900221824646,0.9998881816864014,0.6604278087615967,0.11972539126873016,0.5093646049499512,0.4816473722457886
rician,15,baseline,18.503578186035156,0.7051665782928467,17.731544494628906,17.456174850463867,0.2969130277633667,0.04544377699494362,0.2429972141981125,0.227097749710083,0.9997565150260925,1.963778049685061e-05,0.9997329711914062,0.9997209310531616,0.9260173439979553,0.035429056733846664,0.8788861036300659,0.8503543138504028
